date,month,day,name
1 ,0,Saturday,New Year's Day 
9 ,0,Sunday,Guru Govind Singh Jayanti 
13 ,0,Thursday,Lohri 
14 ,0,Friday,Pongal 
14 ,0,Friday,Makar Sankranti 
26 ,0,Wednesday,Republic Day 
1 ,1,Tuesday,Chinese New Year
5 ,1,Saturday,Vasant Panchami 
14 ,1,Monday,Valentine's Day
15 ,1,Tuesday,Hazarat Ali's Birthday 
16 ,1,Wednesday,Guru Ravidas Jayanti 
19 ,1,Saturday,Shivaji Jayanti 
26 ,1,Saturday,Maharishi Dayanand Saraswati Jayanti 
1 ,2,Tuesday,Maha Shivaratri/Shivaratri 
17 ,2,Thursday,Holika Dahana 
18 ,2,Friday,Holi 
18 ,2,Friday,Dolyatra 
20 ,2,Sunday,march Equinox
2 ,3,Saturday,Chaitra Sukhladi 
2 ,3,Saturday,Ugadi 
2 ,3,Saturday,Gudi Padwa 
10 ,3,Sunday,Rama Navami 
14 ,3,Thursday,Maundy Thursday
14 ,3,Thursday,Mahavir Jayanti 
14 ,3,Thursday,Vaisakhi 
14 ,3,Thursday,Mesadi / Vaisakhadi 
14 ,3,Thursday,Ambedkar Jayanti
15 ,3,Friday,Good Friday 
16 ,3,Saturday,First day of Passover
17 ,3,Sunday,Easter Day 
29 ,3,Friday,Jamat Ul-Vida (Tentative Date) 
3 ,4,Tuesday,Ramzan Id/Eid-ul-Fitar (Tentative Date) 
3 ,4,Tuesday,Ramzan Id/Eid-ul-Fitar (Tentative Date)
8 ,4,Sunday,Mother's Day
9 ,4,Monday,Birthday of Ravindranath 
16 ,4,Monday,Buddha Purnima/Vesak 
19 ,5,Sunday,Father's Day
21 ,5,Tuesday,June Solstice
1 ,6,Friday,Rath Yatra 
10 ,6,Sunday,Bakr Id/Eid ul-Adha (Tentative Date) 
13 ,6,Wednesday,Guru Purnima
7 ,7,Sunday,Friendship Day
8 ,7,Monday,Muharram/Ashura (Tentative Date) 
11 ,7,Thursday,Raksha Bandhan (Rakhi) 
15 ,7,Monday,Independence Day 
16 ,7,Tuesday,Parsi New Year 
18 ,7,Thursday,junmashtami 
19 ,7,Friday,junmashtami 
31 ,7,Wednesday,Ganesh Chaturthi/Vinayaka Chaturthi 
8 ,8,Thursday,Onam 
23 ,8,Friday,September Equinox
26 ,8,Monday,First Day of Sharad Navratri
1 ,9,Saturday,First Day of Durga Puja Festivities
2 ,9,Sunday,Mahatma Gandhi Jayanti 
2 ,9,Sunday,Maha Saptami 
3 ,9,Monday,Maha Ashtami 
4 ,9,Tuesday,Maha Navami 
5 ,9,Wednesday,Dussehra 
9 ,9,Sunday,Maharishi Valmiki Jayanti 
9 ,9,Sunday,Milad un-Nabi/Id-e-Milad (Tentative Date) 
13 ,9,Thursday,Karaka Chaturthi (Karva Chauth) 
24 ,9,Monday,Naraka Chaturdasi 
24 ,9,Monday,Diwali/Deepavali 
25 ,9,Tuesday,Govardhan Puja 
26 ,9,Wednesday,Bhai Duj 
30 ,9,Sunday,Chhat Puja (Pratihar Sashthi/Surya Sashthi) 
31 ,9,Monday,Halloween
8 ,10,Tuesday,Guru Nanak Jayanti 
24 ,10,Thursday, Guru Tegh Bahadur's
19 ,11,Monday,First Day of Hanukkah
22 ,11,Thursday,december Solstice
24, 11,Saturday,Christmas Eve 
25 ,11,Sunday,Christmas 
26, 11,Monday,Last day of Hanukkah
29 ,11,Thursday,Guru Govind Singh Jayanti
21 ,10,sunday,lol it's me